Sentiment,Processed_Text
positive,strategic cooperation rentakran brings us new customers already-working relationships authorities new territories said jarmo laasanen senior manager cramo
neutral,share share capital mentioned shareholders remains 5
negative,qcom chart qualcomm short 61.8 retracement trendline resistance https //t.co/2wqqh35koy
neutral,olli-pekka kallasvuo elected vice chairman board
positive,efficiency programs totalling 100 million euros way finnair
neutral,penttil+ñ 's vision important reason transaction russia
neutral,january-august 2009 imports sea container lorry trailer units fell 27.7 exports 28.6 corresponding period 2008
neutral,"transaction covers building lot 46,763 sq factory buildings 19,631 sq m. since autumn 2007 scanfil discontinued production operations oulu facilities partly leased parties"
positive,skx turning coming far could go far stock price implies pay nothing business
neutral,2009 incap expects revenue eur 70 million
positive,carnival corporation china merchants group sign memo understanding ...
positive,stock price rose 70.0 ores 0.9 close sek77 .65 ending two-day streak losses
neutral,according announcement helsinki stock exchange share sentera shall delisted nm-list helsinki stock exchange accordingly
neutral,finnish bank pohjola bank plc hel poh1s said today issue eur 40 million usd 51.2 index-linked bond pohjola tutkimuksen tahdet viii-2010 pohjola research stars viii-2010 october 27 2010
neutral,vacon controls 5 company via investment fund power fund i. eur 1.0 usd 1.397
neutral,aim bridge solutions chosen minimize construction times ensuring traffic beneath bridge saimaa canal continues undisturbed
neutral,technology park built near st. petersburg-based pulkovo airport
positive,stx long play another consistent profit zone .. check https //t.co/dqfuzozylh https //t.co/ggne4ayzqn
neutral,value orders eur 25mn
neutral,talentum acquired 47.5 pct stake varesvuo partners 1997 remaining 2002 2005
positive,outotec oyj press release december 4 2009 10.30 outotec establishes new subsidiary kolkata outotec established subsidiary india order better serve indian customers increase business growing indian market
positive,commission income rose 25.7 eur 16.1 mn eur 12.8 mn 2004
positive,nokia world 's largest mobile phone manufacturer china postel china 's largest mobile phone distributor long-standing partnership continues grow stronger time
neutral,based first quarter result existing order backlog new order prospects company expects full-year sales contract 25 2008 gross margin stay healthy level operating profit margin lower 2008 due lower sales volume
neutral,look vintage fabric cushion covers '70s coffee pots ceramic serving dishes cocktail glasses stainless steel party dishes
negative,"cargo traffic fell 1 year-on-year 8,561 tonnes september 2009"
neutral,capman four investment areas capman buyout capman technology capman life science capman real estate dedicated team
neutral,kershaw takes position immediate effect previous role marketing manager sankey home garden products
neutral,deliveries outotec take place 30 months
positive,net profit 35.5 mln compared 29.8 mln
neutral,swedish subsidiary holds 1.0 net smelter return `` nsr `` royalties two advanced copper projects northern sweden viscaria adak projects developed avalon minerals ltd. asx avi
neutral,rt tomhend777 mu needs hold -broken needs big flush still technically oversold big bounce yet
positive,optimization steel components heating process reduce energy consumption
neutral,m-real corporation stock exchange announcement 29 september 2006 4.15 p.m. kyro corporation m-real corporation metsaliitto group subsidiary agreed arrangement gives m-real option purchase kyroskoski natural gas powerplant kyro
negative,i-grid shows dia capped long term range 123.40- 124.77 rally beyond today 's levels range leads meltdown
neutral,samsung mobile applications store launched january 2009 samsung mobile innovator program enables mobile software developers create applications use across samsung mobile devices
positive,press release 9 october 2009 ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland
neutral,non-recurring items eur 177mn profit amounted eur 20mn
negative,profit period totalled eur 1.1 mn eur 1.6 mn third quarter 2008
positive,also said third quarter diluted eps came 0.34 eur compared 0.16 eur quarter year ago
neutral,however market share shrank 47.59 per cent 48 per cent year earlier
negative,nordic banks already write sizable loans latvia swedbank nordea dnb seb reporting combined losses excess 1.35 billion period 2007 2010 backdrop near economic meltdown latvia
neutral,"stora enso 's business north america annual capacity 3 million tons employs 4,350 people"
neutral,address also happens house italian megamart eataly meaning `` come kids 're going toy building ``
positive,`` intel atom processor tremendous success marketplace since launch 2 years ago `` said pankaj kedia director global ecosystem programs intel corp. 's ultra mobility group
negative,operating result excluding one-off items totaled eur 9.1 mn compared eur 10.6 mn continuing operations excluding one-off items 2004
negative,sales boost new morrisons chief david potts tesco turnaround stalls
neutral,also finnish industry investment government-owned investment company participate project
neutral,"committee proposes following remuneration monthly remuneration eur 5,000 chairman eur 3,500 deputy chairman eur 2,500 board members"
negative,2009 comptel slipped net loss eur2 .1 profit eur6 .6 previous year
neutral,`` uncertainties cloud long-term outlook ``
neutral,hu offer discount 25 50 selected books
neutral,quick `` one-stop-shop `` understand company
neutral,ubnt still trouble resistance line resolve soon cheri1 strattonite http //stks.co/c0su4
neutral,johnson matthey profit falls dividend rises
negative,cndo 21 short float shorts likely take profits close
neutral,europe needs 17 new large paper machines
positive,european traffic grew nearly 30
neutral,established 1989 capman manages nordic buyout mezzanine technology life science real estate funds approximately euro 3 billion 4 billion total capital
neutral,total value deal usd 29mn
positive,"26 january 2011 finnish metal products company componenta oyj hel cth1v said yesterday net loss narrowed eur500 ,000 last quarter 2010 eur5 .3 period year earlier"
neutral,byline tim moran cellular phone giant nokia corp. offering 8.1 billion digital map supplier navteq corp. chicago
neutral,give bedroom cool makeover summer
positive,turnover rose eur21m eur17m
positive,britain 's ftse gets lift prudential results
neutral,total investment necessary eur40m company estimated
neutral,finnish retail software developer aldata solution oyj reported net loss 11.7 mln euro 17.2 mln 2007 versus net profit 2.5 mln euro 3.7 mln 2006
neutral,financialwire tm fully independent proprietary news wire service
neutral,operating profit totalled eur 1.22 mn eur 3.56 mn first quarter 2008
positive,proportion estonian lithuanian passengers tallinn-helsinki route also grew july
neutral,operating profit totaled eur 3.8 mn eur 4.5 mn corresponding period 2005
neutral,exercise originated finland early 1930s training method cross-country skiers
neutral,writing publication lemmink+ñinen -¦ history continuation earlier collaboration antti tuuri company
positive,finland 's national carrier finnair plc carried record 8.5 million passengers 2005 increase 4.5 percent previous year airline reported tuesday
neutral,finnish glass technology group glaston corporation omx helsinki gla1v reported thursday 14 august operating profit eur6 .5 net sales eur201 .5 period january-september 2008
neutral,raute reported loss per share eur0 .86 first half 2009 eps eur0 .74 corresponding period 2008
neutral,news corp. 's myspace.com web site display submissions expanded broadband emmy awards part effort identify aspiring video artists
negative,copper lead nickel also dropped ... hbos hbos plummeted 20 70.3 pence saying year+ó
neutral,result 20 persons longer needed
negative,bbry actually lost .03c per share u incl vz debt 3.1 cash
negative,mcd looks set fall http //stks.co/f2fgj
positive,swiss franc surged record 1.42 euros reported sharpest gain manufacturing march
negative,astrazeneca 's patent asthma drug invalidated us court
neutral,finnish bank +àland +àlandsbanken issued profit warning
neutral,according tyrv+ñinen 's estimation japan essential location terms finnair 's asian strategy
neutral,finnair 's passenger load factor measures number sold seats share available seats dropped 1.3 percentage points 76.7 september
neutral,ova press 60 stake joint venture imsm holds 40 stake
neutral,eps dropped eur0 .2 eur0 .3
negative,disappointment see plan folded
positive,standard life share price insurer buys advice firm pearson jones
positive,nokia elisa work together bring superior mobile gaming experience elisa customers
neutral,fiscal year ending september 30 2009 revenue customers 10.012 million around 11.0 transportation group 's revenue
positive,helsinki afx outokumpu said technology unit 28 mln eur contract bosnia-herzegovina 's aluminij dd mostar upgrade anode plant
neutral,bertrand sciard vice chairman board directors aldata solution since april 2007
neutral,unlisted british biologicals makes b proteins disease-specific supplements cover diabetes hepatitis asthma cardiovascular ailments
positive,tele2 affarsvarlden gave `` buy `` recommendation mobile operator tele2 ab share price target 142 crowns 23.54 15.19 euro
positive,amazon attack uk grocery market morrisons deal
neutral,following transaction tulikivi restructured operations soapstone fireplaces business natural stone product business ceramic products business units
positive,mr kivimeister said john deer former timberjack stands win situation controls around 60 estonia 's forest machinery market
positive,sppi .. building rs sweet want break new 52week earnings growth justifies way higher
positive,glad long co-operation sodra continues `` comments stig-goran sandberg affecto 's area manager baltic operations
positive,however biohit estimates total net sales continue grow 2009 favourable trends net sales lead profit 2009
positive,uup major resistance right go much higher break may take several attempts days week
positive,"eur928 ,000 q1 2010 6 may 2010 finnish textile clothing design company marimekko oyj hel mmo1v said today net profit rose eur928 ,000 first quarter 2010 eur13 ,000 corresponding period year earlier"
neutral,measures result weak demand shipbuilding industry
neutral,make available following brand-new market analyses cement uk cement poland cement belgium analyses give clear overview actual situation future outlook cement industry european countries
positive,airline ordered nine airbus a350-900 aircraft deliveries 2011 becomes lead airline latest variant rolls-royce trent series engines called 1700
neutral,connectivity unit 100 e-invoice customers number annual transactions stands nearly one million
neutral,energy shot packed 100-millilitre bag screw cap
neutral,rapala tournament fishing major titles already holidays bargain-priced games rapala aim smaller audience
neutral,ahms also offer hotel hotel project consultancy management services brand franchise training sales marketing services pan-india basis
neutral,`` people enjoy mobile games often customers enjoy experimenting new mobile services content
neutral,presentation materials posted company 's website www.seahawkdrilling.com `` investor relations `` section `` webcast presentations `` tab
neutral,reproduction distribution prohibited
positive,sweden operating profit period review totaled eur 3.4 mn 30.8 corresponding period 2005
neutral,nokia 's share price fell less one percent 18.70 euros 25.41 helsinki siemens shares fell 1.02 percent 90.19 euros 122.57 frankfurt
neutral,result total 82 employees would given notice
positive,talvivaara secured 10-year off-take agreement 100 per cent main output nickel cobalt norilsk nickel entered long-term zinc streaming agreement nyrstar nv
positive,talks aimed restructuring operations cutting costs
neutral,aug. 17 2010 curbed delivered newstex -- latest racked covering shopping retail sidewalks
negative,legal general share price finance chief step
negative,finnish investment group norvestia oyj said net profit fell 23.5 mln euro 30.6 mln 2006 33.5 mln euro 43.6 mln 2005
neutral,`` 's high figure european scale `` noop said recalling however also includes beer bought finnish tourists
neutral,new organization consists two business units charging messaging finance administration
neutral,cerberus capital management lp-backed printing paper maker newpage corp. posted mixed second-quarter results casting cloud planned initial public offering
negative,"sheryl sandberg sells 109,000 shares facebook inc fb stock https //t.co/3vxt7amnpk via ratingsnetwork"
neutral,investment investment activity communication relates available relevant persons engaged relevant persons
neutral,oriola-kd spin-off finnish pharmaceutical group orion oyj 's wholesale division
negative,operating profit fourth quarter went eur3m eur4 .2 corresponding period 2009 included costs growth projects
positive,interest heats yahoo yhoo wall street journal https //t.co/j5jvji9bia
positive,lnt increases annual dividend target 1.80/share 1.70/share
neutral,"agricultural newspaper maaseudun tulevaisuus 318,000 readers representing decrease 6"
positive,objective planned measures achieve significant savings next years
positive,update 1-astrazeneca buys zs pharma 2.7 billion pips actelion
positive,plan estimated generate eur 5 million usd 6.5 cost savings annual basis
negative,loss period totalled eur 15.6 mn compared profit eur 6.3 mn 2008
positive,diluted earnings per share eps rose eur 1.05 eur 0.64
neutral,according gran company plans move production russia although company growing
positive,finnish kci konecranes awarded order four hot metal ladle cranes indian steel producer bhushan steel strips delivered 2007
negative,gs sells flat .. ..
negative,whitbread boss andy harrison defends sales fall 'just blip
negative,operating profit totaled eur 6.7 mn eur 7.2 mn corresponding period 2005
neutral,royal mail turnaround proving expensive tough uk market
positive,via satlan acquisition teleste plans expand market presence video services partner cable operators broadcasters iptv service providers
positive,catskillfishing note monthly chart gdx recaptured support gld possible double bottom set http //stks.co/aw6z
neutral,uk 's sarantel outsource part processes elcoteq plant estonia london oct 13 bns british miniature antennas maker sarantel signed agreement outsource assembly test supply chain processes plant elcoteq estonian capital tallinn
neutral,managing director 's comments `` net sales first quarter notably lower year especially finland russia baltic countries
positive,stora enso 's third-quarter pre-tax profit doubled eur 197mn
neutral,operating profit excluding non-recurring items decreased eur 6.2 mn eur 16.8 mn 2007 representing 2.3 net sales
positive,line biggies must loading lows ..
neutral,end 2006 number joint branch offices total 170
neutral,"acquired plant annual capacity 300,000 tonnes production sold domestic customers"
positive,production expand elcoteq 's locations including mexico hungary 2010
negative,plug bear raid
neutral,includes eur 39.5 mn change fair value investment properties
neutral,adp news feb 11 2009 finnish wood products technology supplier raute oyj hel rutav said today net profit decreased eur 4.7 million usd 6.1 2008 eur 6.6 million 2007
neutral,expected completed end 2007
positive,airvana 's umts home base station femto cell uses software-based functionality off-the-shelf silicon accelerate feature development reduce product cost
neutral,new name sanoma division sanoma news
neutral,changes readership significant
negative,boeing company nyse ba bearish trader bets 550k stock sell 9.79 july expiry ba http //stks.co/tcse
neutral,employees would remain oulu plant support functions group units
neutral,business sales euro 35 million 44million responsible sales marketing lanxess 's paper chemicals business kemira bought euro 88 million early year cw jan. 11 p. 22
positive,glencore studies possible ipo agricultural trading business
neutral,said `` sale actively marketing
positive,savon koulutuskuntayhtyma finland based company awarded contract specialist agricultural forestry machinery
neutral,offers advanced machinery maintenance process development services pulp paper industry northern china
neutral,finland 's hobby hall 's sales decreased 10 international sales fell 19
negative,british american tobacco first-half sales hurt currency moves
neutral,petrofac share price rises despite â£30m costs north sea project
positive,operating profit net sales 12-month period increased respectively eur4 .7 eur26 .7 compared 2004
neutral,"componenta production lines similar-sized products karkkila finland weert netherlands orhangazi turkey combined output approximately 100,000 tonnes net sales eur 135 million 2007"
neutral,equipment ixonos acquires deal includes mechanical engineering hardware rf antenna measurement laboratory facilities measurement audio cameras displays well devices robot units testing mobile devices
positive,major breweries increased domestic beer sales 4.5 per cent last year 256.88 million litres 245.92 million litres 2004
neutral,company also said sell approximately 150 hectares land city valkeakoski end year part `` job job `` program
negative,stumbled upon amazing chart ofix holy guac super overbought http //stks.co/e0px1
neutral,operating profit fell eur 6.2 mn eur 8.5 mn third quarter 2007
neutral,result 12 people made redundant total 67 persons laid temporarily
neutral,value order usd 2.3 mn
positive,result distribution companies start distribute addition current product offering shimano reels rods shimano fishing tackle products exclusive basis
negative,finland 's hobby hall 's sales decreased 10 international sales fell 19
neutral,agreement must approved russian competition authorities enters force
neutral,airline 's share price closed slightly x20ac 12.51 15us .74 helsinki
negative,finnish company previously said operating result lower break-even posted year earlier
negative,tsla recall model x https //t.co/b7izya4bue
neutral,dopplr dopplr service smart travellers
positive,finnish okmetic manufactures processes silicon wafers semiconductor sensor industries norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystals use solar cell manufacturing
positive,`` concerns remain longer term size scale may enable nokia hold newfound margin improvements near term `` analyst wrote
positive,aapl nice rsi 33 bounce 9:58
positive,isr- isoray 6 high volume http //stks.co/ifpo biotech
neutral,operating profit 12-month period decreased eur157 .5 net sales increased eur634 .3 compared 2007
neutral,"omx helsinki index 0.33 pct lower 9,364.80 omx helsinki cap portfolio index 0.34 pct 5,029.25"
positive,gkn buy fokker technologies 706 mln euros
negative,companiesmeggitt profits hit weak energy military markets
neutral,finnish business delegation includes representatives 20 companies include nokia corp finnfund outokumpu oyj oko bank alteams oy cargotec corp.
neutral,earnings per share eps amounted loss eur0 .38
positive,earnings per share eps rose eur 0.11 eur 0.03
positive,diluted earnings per share eps rose eur 3.68 eur 0.50
negative,case effect would negative finland
neutral,release offer securities sale united states elsewhere
neutral,city24 users search homes properties areas city24 active even outside country
neutral,mr walden mr ignatius responsible also newspapers business result
neutral,application considered hacking application classified f-secure riskware
neutral,however net sales declined eur 803.6 million eur 1.2 billion
neutral,new sepa cads replace finnish bank cards
neutral,risto raty tekla 's executive vice president said tekla structures archicad cover entire design documentation workflow throughout construction project
positive,re-use back pet bottles also steadily increased rate use strapping tape picked dip 2005 petcore said previously
negative,finnish automation solutions developer cencorp corporation omx helsinki cnc1v issued thursday 18 september profit warning third quarter 2008
positive,09:01 aks dj ak steel revenue rises 36 auto sector demand acquisition
negative,sbux heading 200dma certain doom hold
neutral,showcase end-to-end capabilities mobile world congress arranged internal meego application development competition entice developers create new applications
positive,tzoo close 28.64 ready rock roll
positive,strand associates expanding madison corporate headquarters space add 100 employees engineering firm
positive,tectia corporation hel tec1v provider real-time security solutions today announced appointed lan2lan provider services uk distribute data security manage file transfer software
positive,gdx gdxj jnug strong move today junior gold miners keep eye gap fill
neutral,industry asia +ó pakistan malaysia taiwan philippines today global research data services going publish several market analyses cement markets asia
neutral,"according latvian business register uponor latvia closed red lvl 99,000 eur 139,538.17 usd 194,556.48 turnover lvl 2.346 mn 2009"
neutral,port operator however favors retaining port fees 2010 citing owner governemtn estonia commiting port pay eek 400mn eur 25.56 mn usd 36.44 mn dividends state 2009 another eek 300mn 2010
neutral,consolidated pretax profit decreased 69.2 eur 41.0 mn eur 133.1 mn 2007
neutral,another noticeable thing search tata airtel brands mostly related broadband connections
neutral,negotiations concern personnel cencorp corporation singulase oy whole finland sweden company said
neutral,"inge larsen cfo 29,045 shares representing 0.50 share capital"
neutral,business development initiatives north america headed lynn shanahan
positive,britain 's ftse forges ahead shire surges
neutral,company also equipped sculptural complex rabochy kolkhoznitsa worker collective farmer moscow snow melting system
positive,`` leipurin growing rapidly internationalizing group
neutral,project also implies underground parking lot 56 vehicles
neutral,solution demonstrated tablet developed aava mobile multi-window system enables use several applications simultaneously example viewing messages calendar side side
neutral,eur 38.8 mn net interest income
neutral,new production lines novator mill veliky ustjug vologda oblast sveza change current 1.5 1.5 birch plywood production targeting domestic market produce 1.5 3.0 overlaid birch plywood global market
neutral,`` korean consumers tech-savvy leading pack terms design `` gill hyun-chang president motorola korea inc. told dow jones newswires interview
positive,efut hod posted buy pm 4.40
positive,recovery base metals prices increased demand metals china however
negative,looks like big feb 18-22 put spread cree last quarter 0 yoy rev growth trading 24x earnings may try short
neutral,according pietinalho doctors motivate patients smoke every time visit doctors
neutral,"third quarter result also includes 400,000 euro 575,000 provision down-sizing lure manufacturing ireland"
neutral,finnish investor scanfil oyj hel scf1v said last friday bought 57 million shares 32.96 norwegian contract electronics manufacturer kitron asa osl kit nok 143.9 million usd 24.4 m-eur 18.1
neutral,op-pohjola group 's capital adequacy ratio act credit institutions stood 12.1 tier 1 ratio 12.1
positive,edu bouncing nicely add-on posted
neutral,almost entire office building occupied metso
neutral,stores 16 march 2010 finnish stationery gift retailer tiimari hel tii1v said yesterday cut total 28 jobs units tiimari retail ltd gallerix finland ltd result closure shops
neutral,interchange editors-in-chief part publisher 's goal enhance job circulation personnel groups
negative,cost costco less stellar day held 50 day moving average
neutral,`` implementation programs negative impacts 2006 2007 earnings `` mr meiklejohn said
negative,finnish daily kauppalehti surmises finnish supplier rautaruukki raised prices aker 's comfort zone
neutral,dutch publisher de vijver said today agreed buy 49 stake belgian weekly magazine humo finnish media company sanoma hel saa1v
neutral,deal worth eur 1.2 mn
neutral,`` defences mature attackers develop trojans equipped content filters detect online banking activity capturing account details using methods form grabbing screen shots video captures keylogging injection form fields
positive,meanwhile nokia said able deliver complete range services deployment operations consulting integration managed services result buyout
neutral,"ahlstrom 's 5,800 employees serve customers via sales offices production facilities 20 countries six continents"
neutral,professional consumer applications include personal navigation personal safety field workflow management asset tracking
neutral,companies keep commercial independence continue market traditional products individually
neutral,scanfil expects net sales 2008 remain 2007 level
neutral,inaugural speech given hannu kyrolainen finland 's ambassador czech republic
neutral,"owns 80,565 shares amer sports corporation equaling 0.11 company 's share capital voting rights"
negative,peer peugeot fell 0.81 pct sales rose 6.3 pct period last year
positive,rolls-royce wins 9.2 billion order emirates airline
positive,aapl right back ... buy dips brought cnbc lol
neutral,glencore sees tripoli-based noc sole legal seller libyan oil
neutral,rapala vmc corporation rapala leading fishing tackle sporting goods manufacturer distributor main owner peltonen 80 shareholding
neutral,aspo 's net sales 2006 totaled eur 225.9 million
neutral,full-function pc weighs 1.25 kilograms measures slightly two centimeters thin
neutral,details provided
positive,finnish airline finnair deal uk public sector official airline flights london heathrow osaka japan well flights manchester uk helsinki finland
positive,finnish ahlstrom corporation double investments new specialty glassfiber reinforcement plant south carolina us
neutral,originally posted pcmag.com security blog security watch
neutral,effect may remain short-lived however
negative,amd big dumping ... would touch
neutral,teleste set 1954 divided broadband cable networks video networks business areas
positive,stora enso owns 43 percent bergvik earns therefore sek 1.5 bn value appreciation
neutral,contract covers installation training start-up services
neutral,operating cash flow investments totalled eur 61.3 mn compared eur 75.3 mn corresponding period 2007
neutral,aspo 's group structure business operations continually developed without predefined schedules
neutral,alternative share exchange panostaja offers full cash consideration value 1.27 euro 1.7 per share
positive,operating profit rose eur 5mn eur 2.8 mn fourth quarter 2008
neutral,finland hamina cargo terminal finnish nurminen logistics purchased warehouse ground lease rights port hamina
positive,finnish department store chain stockmann oyj abp net profit rose 39.8 mln euro 56.8 mln first nine months 2007 37.4 mln euro 53.4 mln period 2006
neutral,earlier reported nokian tyres building plant town vsevolozhsk russia 's leningrad region annual production capacity 4 million tires
positive,`` residentialconstruction particular picked several markets
positive,`` share purchase completed financing also provided expand latvia 's broadband infrastructure develop new areas business including acquisitions companies ``
positive,surprising see jwn sks sales numbers still holding well guess high end might concern
neutral,look forward take part future development company `` says tomas billing president nordstjernan
neutral,company 's set services include digital printing printing preparation offset-printing after-treatment services send services
neutral,"estimated turnover new company lvl 2,5 million eek 40 million"
positive,finnish electronics manufacturing services company elcoteq signing cooperation agreement japanese mobile phone manufacturer bypasses elcoteq tallinn says jan kotka ceo elcoteq tallinn
positive,company aims maintain trend profitability current year
neutral,acquisition avc systemhaus majority stake cableway increase number teleste personnel 250
neutral,kemira shares closed x20ac 16.66 22us .71
positive,operating profit rose eur 26.7 mn eur 14.9 mn corresponding period 2006
positive,cash flow operating activities estimated positive
positive,aapl key breakout 460 solid volume else 's trade
neutral,finnish electronics contract maker incap oyj said january 3 2008 sold manufacturing facilities helsinki local real estate company sponda oyj 5.3 mln euro 7.8 mln
neutral,stora chief executive jouko karvinen described russian tariff hikes threat future forest products industry finland
neutral,situation coated magazine printing paper continue weak
neutral,"honkarakenne also decided yesterday sell 88,500 b-series shares key staff members eur 2.90 per share"
neutral,"currently glaston employs approximately 1,500 persons"
neutral,filter tips cover volume range 0.1-1200 -ál including new sizes 10 20 100-120 200 300 1000 1200 -ál volume capacities
positive,ocwen reaches settlement california regulator
positive,ppg descending triangle liking upside break http //stks.co/o9ny
neutral,"restructuring upm 's average paper machine capacity europe 320,000 tons 350,000 short tons coated magazine paper 420,000 tons 460,000 short tons coated fine paper"
negative,ftse 100 falls china devaluation hits burberry mining stocks
neutral,finnish company previously said operating result lower break-even posted year earlier
neutral,rimi supermarket key customer magistral center
neutral,cruising revs fall less engine output required
positive,fda panel backs safety updates astrazeneca takeda drugs
neutral,founded 2000 bioview automates laboratory tests especially diagnostic tests cancer
neutral,aapl 'm glad got stopped 113 weeklies re-enter next monday earnings run-up
negative,nflx small pos short 180 wkly puts
neutral,registration required
neutral,financial details available
neutral,almost two thirds olvi 's net sales come outside finland
neutral,2003 emphasis kyro 's strategy glaston 's growth
negative,rivals say qualcomm fewer patents 3g phones earlier versions lower rates
negative,market share decreased route helsinki finland tallinn estonia 0.1 percentage points 24.8
neutral,event also viewed live webcast www.cargotec.com
positive,sales clothing developed best
negative,glaxosmithkline share price slips fda okays asthma therapy adults
neutral,financial pricing details disclosed
negative,according swedish authorities traces toxic osmium tetroxide found coast per+ñmeri northernmost part gulf bothnia
neutral,basware finances acquisition bank loan
positive,buy associated british foods plc great portland estates plc dunelm group plc following today 's news
positive,aapl new long 110.61 broken targets 112.19 119.86 123.82 bears must retake 102.77 qqq nq_f ndx https //t.co/6l3m1wxchw
neutral,tekla 's defense business employs 20 persons located espoo finland
negative,glaston 's net profit third quarter 2007 dropped 2.4 mln euro 3.5 mln 3.5 mln euro 5.1 mln corresponding period 2006
neutral,additionally information business segments competitors future outlook provided
positive,cramo group 's financial targets 2010-2013 sales growth higher 10 percent per year return equity 15 percent
positive,bac swing trade looks like want go
negative,spy less 0.2 people calling bearish heading exits already maybe 1 `` crash '' disturbing
neutral,blind-spots coming 1 vantage point allows investigators see whole story high resolution unbroken video
positive,therefore seems finnish shipping company viking line get subsidy needs order new lng-fuelled vessel
negative,based first quarter result existing order backlog new order prospects company expects full-year sales contract 25 2008 gross margin stay healthy level operating profit margin lower 2008 due lower sales volume
positive,cooperation double switch 's converter capacity
positive,finnish p+âyry awarded engineering contract cfr national railway company romania
positive,look amzn 600
neutral,sinter plant limestone coke breeze mixed iron ore concentrate sintered lump form sinter use blast furnaces raw material iron-making
positive,adpnews jun 30 2009 finnish stainless steel maker outokumpu oyj hel out1v said yesterday signed three-year eur 900 million usd 1.3 bn revolving credit facility
neutral,company disclose sum applied
neutral,"total scholarship amount 40,000 euros recipients chosen recommendation fine arts universities sports associations"
negative,pretax profit totaled eur 9.0 mn eur 36.3 mn 2007
neutral,difference explained fact two shipping companies stopped operating gulf finland
negative,commission income decreased eur 3.8 mn compared eur 4.6 mn third quarter 2007
positive,volc stock high probability rallying tomorrow and/or early next week
neutral,market value one crane usd6m reported finnish news agency stt
neutral,"corresponding increase share capital due subscriptions warrants total eur 1,860.74 registered finnish trade register january 4 2008"
negative,adpnews feb 5 2010 finnish real estate investor sponda oyj hel sda1v said today slipped net loss eur 81.5 million usd 11.8 2009 profit eur 29.3 million 2008
positive,kalnapilio-tauro grupe kalnapilis-tauras group owned denmark 's royal unibrew raised market share 25.18 percent 23.74 percent beer sales seven months jumped 14.5 percent 40.5 million liters
positive,activision blizzard media networks announces record esports viewership https //t.co/729biqlbtk atvi partnered hdsi 9 tournament
neutral,products include personal communications products mobile phones parts home communications products set-top boxes electronics flat panel tvs well communications networks products base-stations tower-top amplifiers microwave systems
positive,"finnish dental care group oral hammaslaakarit oyj posted total net profit 849,000 euro 1.1 mln first nine months 2006 versus net loss 331,000 euro 421,000 period 2005"
neutral,stora enso global paper packaging wood products company neste oil finnish company engaged refining marketing oil inaugurated demonstration plant varkaus finland biomass liquids production utilizing forestry residues
neutral,nordic banks already write sizable loans latvia swedbank nordea dnb seb reporting combined losses excess 1.35 billion period 2007 2010 backdrop near economic meltdown latvia
neutral,finnish suominen flexible packaging cutting 48 jobs unit tampere two nastola finland
neutral,company 's first contract abroad
neutral,put costly cell phone towers thinly populated areas balloons would
neutral,company admits 36 months relatively short time operating russia
negative,export declined 6 percent 16.4 million liters
negative,operating profit fell eur 15.1 mn eur 24.6 mn 2006
negative,also cut price projections paper packaging `` analyst goldman sachs said note monday
positive,lee http //stks.co/24km lee ready exit bankruptcy strong volume today
positive,finnish lifting equipment maker konecranes oyj said july 30 2008 net profit rose 71.2 mln euro 111.1 mln first half 2008 57.1 mln euro 89.1 mln period 2007
neutral,new activity incur investment 5 meur
neutral,tip week panfish like bluegills great fun catch especially children new fishing
neutral,net cash flow operating activities negative eur 3.1 mn compared eur 23.3 mn corresponding period 2009
positive,added long friday close spy labu blue amzn
neutral,company continued development fully human antibody vap-1 antibody program
positive,brief-legal general 's retirement business books 4 billion stg h1 sales
neutral,okmetic 's silicon wafers part processing chain produces end products improve human interaction quality life
positive,helsinki afx nokian tyres reported fourth quarter pretax profit 61.5 mln eur 48.6 mln back strong sales
neutral,addition production varpaisj+â rvi factory stopped beginning april 2009
positive,gsk joins china trade push uk trumpets healthcare deals
neutral,module products available trials 3q-07 volume deliveries 4q-07
neutral,operating loss totalled eur 0.9 mn profit eur 2.7 mn
neutral,london afx fortum said agreed sell industrial maintenance service operations funds managed capman undisclosed sum
positive,global banking news 28 september 2010 tieto corporation pohjola bank pink pojlf cooperate swift services
neutral,current reference grade instruments challenging operate due high price complexity routine use
negative,update 1-dairy crest loses third morrisons milk contract
negative,deutsche bank downgraded starbucks co. sbux https //t.co/qqlevvwpmv https //t.co/f2pdqjutha
positive,eurochem cfo andrey ilyin said `` facility marks another important step eurochem securing long-term financing necessary potash strategic projects ``
positive,finnish construction group yit awarded contract install heating air conditioning cooling systems new head office automobile association adac munich germany
neutral,financial details deployment disclosed
neutral,point spread also iran iraq
neutral,pretax profit totaled eur 4.9 mn compared eur 5.2 mn first quarter 2005
neutral,talvivaara listed london stock exchange main market nasdaq omx helsinki included ftse 250 index
neutral,sales price disclosed
neutral,value total investment eur 600mn
neutral,availability internet services highlighted service offer kesko 's k-group stores
neutral,"share capital biotie therapies corp. constitutes 90,211,860 shares aggregate number voting rights attached shares amounts 90,211,860"
neutral,profit period fell eur 1.6 mn eur 7.5 mn january-september 2008
negative,end day scan stochastic overbought jdst free blrx lpg afsi dvax hdge aht alr asmb www.dailystockplays.com
neutral,"alexandria va. jan. 9 -- united states patent 7,862,685 issued jan. 4 assigned kemira chemicals inc. marietta ga."
